Image,Mask
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/011_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/011_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/012_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/012_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/012_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/012_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/012_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/012_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/012_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/012_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/012_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/012_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/013_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/013_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/013_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/013_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/013_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/013_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/013_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/013_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/013_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/013_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/014_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/014_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/014_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/014_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/014_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/014_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/014_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/014_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/014_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/014_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/015_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/015_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/015_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/015_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/015_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/015_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/015_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/015_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/015_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/015_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/016_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/016_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/016_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/016_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/016_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/016_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/016_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/016_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/016_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/016_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/017_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/017_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/017_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/017_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/017_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/017_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/017_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/017_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/017_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/017_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/018_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/018_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/018_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/018_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/018_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/018_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/018_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/018_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/018_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/018_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/019_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/019_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/019_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/019_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/019_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/019_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/019_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/019_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/019_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/019_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/01_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/01_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/01_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/01_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/01_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/01_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/01_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/01_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/01_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/01_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/020_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/020_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/020_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/020_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/020_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/020_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/020_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/020_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/020_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/020_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/021_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/021_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/021_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/021_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/021_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/021_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/021_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/021_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/021_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/021_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/022_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/022_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/022_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/022_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/022_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/022_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/022_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/022_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/022_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/022_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/023_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/023_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/023_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/023_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/023_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/023_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/023_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/023_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/023_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/023_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/024_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/024_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/024_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/024_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/024_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/024_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/024_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/024_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/024_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/024_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/025_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/025_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/025_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/025_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/025_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/025_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/025_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/025_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/025_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/025_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/026_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/026_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/026_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/026_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/026_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/026_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/026_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/026_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/026_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/026_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/027_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/027_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/027_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/027_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/027_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/027_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/027_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/027_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/027_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/027_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/028_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/028_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/028_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/028_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/028_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/028_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/028_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/028_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/028_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/028_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/029_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/029_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/029_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/029_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/029_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/029_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/029_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/029_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/029_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/029_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/02_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/02_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/02_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/02_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/02_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/02_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/02_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/02_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/02_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/02_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/030_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/030_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/030_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/030_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/030_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/030_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/030_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/030_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/030_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/030_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/031_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/031_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/031_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/031_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/031_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/031_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/031_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/031_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/031_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/031_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/032_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/032_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/032_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/032_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/032_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/032_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/032_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/032_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/032_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/032_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/033_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/033_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/033_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/033_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/033_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/033_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/033_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/033_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/033_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/033_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/034_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/034_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/034_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/034_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/034_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/034_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/034_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/034_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/034_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/034_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/035_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/035_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/035_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/035_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/035_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/035_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/035_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/035_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/035_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/035_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/036_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/036_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/036_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/036_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/036_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/036_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/036_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/036_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/036_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/036_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/037_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/037_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/037_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/037_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/037_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/037_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/037_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/037_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/037_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/037_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/038_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/038_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/038_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/038_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/038_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/038_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/038_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/038_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/038_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/038_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/039_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/039_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/039_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/039_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/039_4.npy,0
